Fragment,Selection_Frequency,Avg_Abs_Coefficient
p1.O__,1.0,0.31933209602983403
p1.___,1.0,0.32805224551330475
p2.CB2CB_.4,1.0,1.3863810661983653
p2.CD3C__.2,1.0,0.14312805815533217
p3.CB1C__Cl_.41,1.0,0.16578617029854814
p3.CB2CB2OA1.41,1.0,0.1340134684070834
p3.CB2NA2CD_.11,1.0,0.1633279089842296
p3.CA_CD3OD_.12,1.0,0.1729133050527467
s4.CB2CB1CB1CB2.441,1.0,0.07983238356427633
p6.CA2CA2CA2CA2CA2CA2.11111,1.0,0.14237972506776833
p4.CB1CB1CB2Cl1.441,1.0,0.08395872620174867
p4.CB1CB2OA2CB2.411,1.0,0.14908422947319216
p4.CB_CB_NB_CB_.444,1.0,0.18078405330835962
p4.CA_CA_CA_OA_.111,1.0,0.12916119669041634
p5.C__C__C__C__C__.1144,1.0,0.08892131170198624
p4.CB1CB1CB2NA1.441,1.0,0.09539956845768452
p3.C__C__OA1.11,1.0,0.4893981765975005
p3.CA2CA2OA1.11,1.0,0.17119001604847855
s6.CB2CB2CA2CB1CB1OA1.41441,1.0,0.04957850373417048
p6.C__C__C__C__C__N__.14441,1.0,0.10930248731963157
s4.CB2Br1CB1CB1.144,1.0,0.1768797528694224
s5.CA4CA1CA1CA1CB2.1111,1.0,0.08971504622618216
p6.CA1CB2CB1CB1CB2CA2.14441,1.0,0.14724641021016735
p6.C__C__C__N__C__C__.14111,1.0,0.18496445153819038
s6.CB2CB2CB2CB2CB2CB2.14444,0.999,0.09823715307216244
p3.Cl1C__Cl1.11,0.999,0.06611478166055444
p3.NA1CD3OD_.12,0.999,0.14785154088500188
p2.CA1O__.1,0.998,0.07387243504053133
s6.CB2CB2CB1Cl1CB2OA1.44141,0.998,0.08985467461859209
p5.C__N__C__N__C__.1111,0.998,0.11201431605094357
p4.CB2CB2CB2CB2.444,0.998,0.1923965215263488
p3.C__CD3OA1.11,0.998,0.08812412336772414
p5.CA1CA2CA2CA2CA2.1111,0.998,0.16976870389099785
p3.CB_CA2N__.11,0.995,0.10297137370663839
p4.CB1CB2CA3CD3.411,0.994,0.07927675274487495
p5.Br1CB2CB2CB2CB2.1444,0.992,0.10524057437320367
p2.N__N__.1,0.992,0.1122587818112079
p5._______________.4114,0.991,0.12882987373495736
p6.CB1CB2CB1CB1CB2CB2.44444,0.99,0.05794567325137931
p3.CA4CA4CA_.11,0.987,0.05460316032822339
p4.CB1CB2CB2NA2.441,0.987,0.09007702283266637
p2.CB_F__.1,0.984,0.10448061913730841
p6.CA1CA2CA2CA2CA2CA2.11111,0.984,0.06472023364102679
p6.CB2CB2CB2OA2CB2CB2.44114,0.982,0.06362592984801355
p3.CA4CA_CD_.11,0.981,0.1065514184021199
p3.CA1CA_CA2.11,0.98,0.18252721064246205
p3.CB2CB2S__.41,0.973,0.07624309371398477
p2.CD2N__.1,0.94,0.06814362243132534
p2.CD2NA3.1,0.865,0.09642397778232659
p3.CA1C__CA2.11,0.808,0.07641122459038399
